Order	Coral_Species	Phylotype
532	Acropora latistella	C3
533	Acropora latistella	C3
534	Acropora latistella	C3
535	Acropora latistella	C3
536	Acropora latistella	C3ii
537	Acropora latistella	C3u
538	Acropora latistella	C3u
539	Acropora latistella	C3u
540	Acropora latistella	C3u
541	Acropora latistella	C3u
542	Acropora latistella	C3u
543	Acropora latistella	C3z
544	Acropora latistella	C3z
545	Acropora latistella	C3z
546	Acropora latistella	C3z
547	Acropora latistella	C3z
548	Acropora latistella	C3z
549	Acropora latistella	C3z
550	Acropora latistella	C40
551	Acropora latistella	C40
552	Acropora latistella	C40
553	Acropora latistella	D1-4
554	Acropora listeri	C1g
555	Acropora listeri	C1g
556	Acropora listeri	C3
557	Acropora longicyathus	C1
558	Acropora longicyathus	C1
559	Acropora longicyathus	C1
560	Acropora longicyathus	C3
561	Acropora longicyathus	C3i
562	Acropora longicyathus	C3i
563	Acropora longicyathus	C3i
564	Acropora longicyathus	C3i
565	Acropora longicyathus	C3i
566	Acropora longicyathus	C3i
567	Acropora longicyathus	C3i
568	Acropora loripes	C3
569	Acropora loripes	C3
570	Acropora loripes	C3i
571	Acropora loripes	C3i
572	Acropora loripes	C3i
573	Acropora loripes	C3u
574	Acropora loripes	C3u
575	Acropora loripes	C3u
576	Acropora loripes	C3u
577	Acropora loripes	C3u
578	Acropora loripes	C3u
579	Acropora loripes	C3u
580	Acropora loripes	C3u
581	Acropora loripes	C3z
582	Acropora loripes	C3z
583	Acropora loripes	D2
584	Acropora lutkeni	C109b
585	Acropora lutkeni	C109b
586	Acropora lutkeni	C3
587	Acropora lutkeni	C3
588	Acropora lutkeni	C3u
589	Acropora lutkeni	C3u
590	Acropora lutkeni	C3u
591	Acropora lutkeni	C3u
592	Acropora lutkeni	C3z
593	Acropora lutkeni	C3z
594	Acropora lutkeni	C3z
595	Acropora lutkeni	C3z
596	Acropora lutkeni	C3z
597	Acropora microclados	C3
598	Acropora microclados	C3
599	Acropora microclados	C3
600	Acropora microclados	C3
601	Acropora microclados	D1-4
602	Acropora microphthalma	C101
603	Acropora microphthalma	C21
604	Acropora microphthalma	C3
605	Acropora millepora	C1
606	Acropora millepora	C101
607	Acropora millepora	C21
608	Acropora millepora	C3
609	Acropora millepora	C3
610	Acropora millepora	C3
611	Acropora millepora	C3
612	Acropora millepora	C3
613	Acropora millepora	C3
614	Acropora millepora	C3
615	Acropora millepora	C3
616	Acropora millepora	C3
617	Acropora millepora	C3
618	Acropora millepora	C3
619	Acropora millepora	C3
620	Acropora millepora	C3
621	Acropora millepora	C3
622	Acropora millepora	C3
623	Acropora millepora	C3
624	Acropora millepora	C3
625	Acropora millepora	C3
626	Acropora millepora	C3
627	Acropora millepora	C3
628	Acropora millepora	C3
629	Acropora millepora	C3
630	Acropora millepora	C3
631	Acropora millepora	C3
632	Acropora millepora	C3
633	Acropora millepora	C3
634	Acropora millepora	C3
635	Acropora millepora	C3
636	Acropora millepora	C3
637	Acropora millepora	C3
638	Acropora millepora	C3
639	Acropora millepora	C3
640	Acropora millepora	C3
641	Acropora millepora	C3
642	Acropora millepora	C3
643	Acropora millepora	C3
644	Acropora millepora	C3
645	Acropora millepora	C3
646	Acropora millepora	C3
647	Acropora millepora	C3
648	Acropora millepora	C3
649	Acropora millepora	C3
650	Acropora millepora	C3
651	Acropora millepora	C3
652	Acropora millepora	C3
653	Acropora millepora	C3
654	Acropora millepora	C3
655	Acropora millepora	C3
656	Acropora millepora	C3
657	Acropora millepora	C3
658	Acropora millepora	C3
659	Acropora millepora	C3
660	Acropora millepora	C3
661	Acropora millepora	C3
662	Acropora millepora	C3
663	Acropora millepora	C3
664	Acropora millepora	C3
665	Acropora millepora	C3
666	Acropora millepora	C3
667	Acropora millepora	C3
668	Acropora millepora	C3
669	Acropora millepora	C3
670	Acropora millepora	C3
671	Acropora millepora	C3
672	Acropora millepora	C3
673	Acropora millepora	C3
674	Acropora millepora	C3
675	Acropora millepora	C3
676	Acropora millepora	C3
677	Acropora millepora	C3
678	Acropora millepora	C3
679	Acropora millepora	C3
680	Acropora millepora	C3
681	Acropora millepora	C3
682	Acropora millepora	C3
683	Acropora millepora	C3
684	Acropora millepora	C3
685	Acropora millepora	C3
686	Acropora millepora	C3
687	Acropora millepora	C3
688	Acropora millepora	C3
689	Acropora millepora	C3
690	Acropora millepora	C3
691	Acropora millepora	C3
692	Acropora millepora	C3
693	Acropora millepora	C3
694	Acropora millepora	C3
695	Acropora millepora	C3
696	Acropora millepora	C3
697	Acropora millepora	C3
698	Acropora millepora	C3
699	Acropora millepora	C3
700	Acropora millepora	C3
701	Acropora millepora	C3
702	Acropora millepora	C3
703	Acropora millepora	C3
704	Acropora millepora	C3
705	Acropora millepora	C3
706	Acropora millepora	C3
707	Acropora millepora	C3
708	Acropora millepora	C3
709	Acropora millepora	C3
710	Acropora millepora	C3
711	Acropora millepora	C3
712	Acropora millepora	C3
713	Acropora millepora	C3
714	Acropora millepora	C3
715	Acropora millepora	C3
716	Acropora millepora	C3
717	Acropora millepora	C3
718	Acropora millepora	C3
719	Acropora millepora	C3
720	Acropora millepora	C3
721	Acropora millepora	C3
722	Acropora millepora	C3
723	Acropora millepora	C3
724	Acropora millepora	C3
725	Acropora millepora	C3
726	Acropora millepora	C3
727	Acropora millepora	C3
728	Acropora millepora	C3
729	Acropora millepora	C3
730	Acropora millepora	C3
731	Acropora millepora	C3
732	Acropora millepora	C3
733	Acropora millepora	C3
734	Acropora millepora	C3
735	Acropora millepora	C3
736	Acropora millepora	C3
737	Acropora millepora	C3
738	Acropora millepora	C3
739	Acropora millepora	C3
740	Acropora millepora	C3
741	Acropora millepora	C3
742	Acropora millepora	C3
743	Acropora millepora	C3
744	Acropora millepora	C3
745	Acropora millepora	C3
746	Acropora millepora	C3
747	Acropora millepora	C3
748	Acropora millepora	C3
749	Acropora millepora	C3
750	Acropora millepora	C3
751	Acropora millepora	C3
752	Acropora millepora	C3
753	Acropora millepora	C3
754	Acropora millepora	C3
755	Acropora millepora	C3
756	Acropora millepora	C3
757	Acropora millepora	C3
758	Acropora millepora	C3
759	Acropora millepora	C3
760	Acropora millepora	C3
761	Acropora millepora	C3
762	Acropora millepora	C3
763	Acropora millepora	C3
764	Acropora millepora	C3
765	Acropora millepora	C3
766	Acropora millepora	C3
767	Acropora millepora	C3
768	Acropora millepora	C3
769	Acropora millepora	C3
770	Acropora millepora	C3
771	Acropora millepora	C3
772	Acropora millepora	C3
773	Acropora millepora	C3
774	Acropora millepora	C3
775	Acropora millepora	C3
776	Acropora millepora	C3
777	Acropora millepora	C3
778	Acropora millepora	C3
779	Acropora millepora	C3
780	Acropora millepora	C3
781	Acropora millepora	C3
782	Acropora millepora	C3
783	Acropora millepora	C3
784	Acropora millepora	C3
785	Acropora millepora	C3
786	Acropora millepora	C3
787	Acropora millepora	C3
788	Acropora millepora	C3
789	Acropora millepora	C3
790	Acropora millepora	C3
791	Acropora millepora	C3
792	Acropora millepora	C3
793	Acropora millepora	C3
794	Acropora millepora	C3
795	Acropora millepora	C3
796	Acropora millepora	C3
797	Acropora millepora	C3
798	Acropora millepora	C3
799	Acropora millepora	C3
800	Acropora millepora	C3
801	Acropora millepora	C3
802	Acropora millepora	C3
803	Acropora millepora	C3
804	Acropora millepora	C3
805	Acropora millepora	C3
806	Acropora millepora	C3
807	Acropora millepora	C3
808	Acropora millepora	C3
809	Acropora millepora	C3
810	Acropora millepora	C3
811	Acropora millepora	C3
812	Acropora millepora	C3
813	Acropora millepora	C3
814	Acropora millepora	C3
815	Acropora millepora	C3
816	Acropora millepora	C3
817	Acropora millepora	C3
818	Acropora millepora	C3
819	Acropora millepora	C3
820	Acropora millepora	C3
821	Acropora millepora	C3
822	Acropora millepora	C3
823	Acropora millepora	C3
824	Acropora millepora	C3
825	Acropora millepora	C3
826	Acropora millepora	C3
827	Acropora millepora	C3
828	Acropora millepora	C3
829	Acropora millepora	C3
830	Acropora millepora	C3
831	Acropora millepora	C3
832	Acropora millepora	C3
833	Acropora millepora	C3
834	Acropora millepora	C3
835	Acropora millepora	C3
836	Acropora millepora	C3
837	Acropora millepora	C3
838	Acropora millepora	C3
839	Acropora millepora	C3
840	Acropora millepora	C3
841	Acropora millepora	C3
842	Acropora millepora	C3
843	Acropora millepora	C3
844	Acropora millepora	C3
845	Acropora millepora	C3
846	Acropora millepora	C3
847	Acropora millepora	C3
848	Acropora millepora	C3
849	Acropora millepora	C3
850	Acropora millepora	C3
851	Acropora millepora	C3
852	Acropora millepora	C3
853	Acropora millepora	C3
854	Acropora millepora	C3
855	Acropora millepora	C3
856	Acropora millepora	C3
857	Acropora millepora	C3
858	Acropora millepora	C3
859	Acropora millepora	C3
860	Acropora millepora	C3
861	Acropora millepora	C3
862	Acropora millepora	C3
863	Acropora millepora	C3
864	Acropora millepora	C3
865	Acropora millepora	C3
866	Acropora millepora	C3
867	Acropora millepora	C3
868	Acropora millepora	C3
869	Acropora millepora	C3
870	Acropora millepora	C3
